id,citation,year,type,source_category,confidence_score,is_corroboration,corroborates_id,usage_type,model_ready,primary_data_type,secondary_data_type,unit_type,sector,geo_level,geo_name,tp_year,tp_quarter,tp_month,tp_date_exact,url,confirmed_figures,linked_variable,data_used_for,notes
CBRE_Q4_2024,CBRE Canada. Canada Office Figures Q4 2024. January 7 2025.,2025,commercial_real_estate,market_data,0.95,FALSE,,core_input,TRUE,vacancy_rate,,percent,office,national,Canada,2024,4,,,https://www.cbre.ca/insights/figures/canada-office-figures-q4-2024,National avg 18.7% Q4 2024,vac.rate.national,National office vacancy benchmark 2024,
CBRE_Q4_2025,CBRE Canada. Canada Office Figures Q4 2025. January 7 2026.,2026,commercial_real_estate,market_data,0.95,FALSE,,core_input,TRUE,vacancy_rate,,percent,office,national,Canada,2025,4,,,https://www.cbre.ca/insights/figures/canada-office-figures-q4-2025,National avg 18.0% Q4 2025; Winnipeg 18.6% Q4 2025,vac.rate.national; vac.rate.metro,National office vacancy benchmark 2025; Winnipeg Q4 2025,
CBRE_WPG_Q4_2019,CBRE Canada. Winnipeg Office MarketBeat Q4 2019.,2019,commercial_real_estate,market_data,0.95,FALSE,,core_input,TRUE,vacancy_rate,,percent,office,metro,Winnipeg,2019,4,,,,Winnipeg 11.2% Q4 2019,vac.rate.metro,Winnipeg office vacancy 2019,No public URL; referenced via Cushman & Wakefield corroboration
CBRE_WPG_Q4_2022,CBRE Canada. Winnipeg Office MarketBeat Q4 2022.,2022,commercial_real_estate,market_data,0.95,FALSE,,core_input,TRUE,vacancy_rate,,percent,office,metro,Winnipeg,2022,4,,,,Winnipeg 15.7% Q4 2022,vac.rate.metro,Winnipeg office vacancy 2022,
CBRE_WPG_Q4_2023,CBRE Canada. Winnipeg Office MarketBeat Q4 2023.,2023,commercial_real_estate,market_data,0.95,FALSE,,core_input,TRUE,vacancy_rate,,percent,office,metro,Winnipeg,2023,4,,,,Winnipeg 18.3%; National avg 19.4% Q4 2023,vac.rate.metro; vac.rate.national,Winnipeg office vacancy 2023; national benchmark 2023,
CBRE_WPG_Q4_2024,CBRE Canada. Winnipeg Office MarketBeat Q4 2024.,2024,commercial_real_estate,market_data,0.95,FALSE,,core_input,TRUE,vacancy_rate,,percent,office,metro,Winnipeg,2024,4,,,,Winnipeg 18.4% Q4 2024,vac.rate.metro,Winnipeg office vacancy 2024,
CBRE_WPG_Q4_2025,CBRE Canada. Winnipeg Office MarketBeat Q4 2025.,2025,commercial_real_estate,market_data,0.95,FALSE,,core_input,TRUE,vacancy_rate,,percent,office,metro,Winnipeg,2025,4,,,,Winnipeg 18.6% Q4 2025,vac.rate.metro,Winnipeg office vacancy 2025,Corroborates CBRE_Q4_2025
CW_WPG_Q4_2019,Cushman & Wakefield. Winnipeg Office MarketBeat Q4 2019.,2019,commercial_real_estate,market_data,0.9,TRUE,CBRE_WPG_Q4_2019,validation_only,FALSE,vacancy_rate,,percent,office,metro,Winnipeg,2019,4,,,,Winnipeg 11.2% Q4 2019,vac.rate.metro,Winnipeg office vacancy 2019 corroboration,Corroborates CBRE_WPG_Q4_2019
CW_CANADA_2026,Cushman & Wakefield. Canada Office Marketbeats. January 7 2026.,2026,commercial_real_estate,market_data,0.9,TRUE,CBRE_Q4_2025,validation_only,FALSE,vacancy_rate,,percent,office,national,Canada,2025,4,,,,,,National office vacancy trend 2025–2026,
BIZ_2023_EOY,Downtown Winnipeg BIZ. Downtown Snapshot: 2023 End of Year Report. March 2024.,2024,biz_report,market_data,0.85,FALSE,,core_input,TRUE,vacancy_rate,qualitative_context,percent,mixed_use,downtown,Downtown Winnipeg,2023,,,,https://downtownwinnipegbiz.com/wp-content/uploads/2024/03/DowntownSnapshot_2023EndOfYear_WEB_FEB2024.pdf,~30% ground-floor vacancy; 9.4% visitation increase 2022–2023; 106% hotel bookings increase; Forks 3.8M visitors,dhs.business_stability; vac.retail.downtown,Ground-floor vacancy; business sector mix; visitor activity metrics,Primary source for ground-floor retail vacancy figure
