task_name,category,type,start_date,end_date,status,row_type,source_quality,biz_fallback,primary_source_id,secondary_source_id,source_note
RBC Convention Centre expansion,Infrastructure,Project,2013-01-01,2016-03-31,Completed,discrete,weak,TRUE,BIZ_2023_EOY,,Completion and scale referenced in BIZ downtown context; no dedicated primary source in registry — flag for addition. Source is BIZ context report — not a dedicated event source. Add direct primary.
Canadian Museum for Human Rights,Infrastructure,Project,2008-01-01,2014-09-20,Completed,discrete,weak,TRUE,BIZ_2023_EOY,,CMHR referenced as downtown anchor in BIZ reports; no dedicated primary source in registry — flag for addition. Source is BIZ context report — not a dedicated event source. Add direct primary.
Canada Life Centre (Jets return),Infrastructure,Event,2011-05-31,2011-05-31,Completed,discrete,weak,TRUE,BIZ_2023_EOY,,Jets return referenced as downtown catalyst in BIZ context; no dedicated primary source in registry. Source is BIZ context report — not a dedicated event source. Add direct primary.
Downtown Residential Development Strategy,Policy,Policy,2011-01-01,2011-12-31,Completed,discrete,weak,FALSE,WCC_2024,BIZ_2023_EOY,Policy context; no dedicated primary source in registry — flag for addition
Carlton Inn demolition (True North Square),Infrastructure,Project,2014-01-01,2014-12-31,Completed,discrete,moderate,FALSE,CBC_TNS_SCO_2023,TOURISM_WPG_TNS,Site clearance referenced in TNS development context
True North Square (overall),Growth,Project,2016-01-01,,Under Construction,composite,moderate,FALSE,CBC_TNS_SCO_2023,TOURISM_WPG_TNS; WIKIPEDIA_TNS,Overall development scope and phasing; $650M cost estimate from CBC_TNS_SCO_2023
True North Square Tower 1,Growth,Project,2016-01-01,2018-06-29,Completed,discrete,strong,FALSE,WAWANESA_2024,TOURISM_WPG_TNS; WIKIPEDIA_TNS,Tower 1 (office) completion referenced in Wawanesa HQ announcement context
True North Square Tower 2,Growth,Project,2016-01-01,2019-12-31,Completed,discrete,weak,FALSE,WIKIPEDIA_TNS,TOURISM_WPG_TNS,225 Carlton residential tower; no dedicated primary source — flag for addition
Portage & Main plebiscite,Policy,Policy,2018-10-24,2018-10-24,Completed,discrete,moderate,TRUE,BIZ_2023_EOY,,Plebiscite result referenced in downtown context; no dedicated primary source in registry. Source is BIZ context report — not a dedicated event source. Add direct primary.
Hudson's Bay downtown closure,Transition,Event,2020-11-30,2020-11-30,Completed,discrete,moderate,FALSE,CBC_WEHWEHNEH_2023,CBC_TNS_SCO_2023A,Bay closure confirmed as prerequisite context for Wehwehneh acquisition
