name,address,lat,lon,category,type,start_date,completion_date,status,description,
RBC Convention Centre expansion,375 York Ave Winnipeg MB,49.88902355,-97.149049,Infrastructure,Project,2013,2015,Completed,$180M expansion; facility doubled in size (~286,000 sq ft)
Canadian Museum for Human Rights,85 Israel Asper Way Winnipeg MB,49.8908016,-97.1335312,Infrastructure,Project,2008,2014,Completed,National museum opened 2014,
Canada Life Centre (Jets return),300 Portage Ave Winnipeg MB,49.8926563,-97.146045,Infrastructure,Event,2011,2011,Completed,NHL Jets return; arena opened 2004 (as MTS Centre),
Downtown Residential Development Strategy,Downtown Winnipeg,49.8926731,-97.1537966,Policy,Policy,2011,2011,Completed,City adopts downtown housing strategy,
Carlton Inn demolition (True North Square site),223 Carlton St Winnipeg MB,49.8914274,-97.1472491,Infrastructure,Project,2014,2014,Completed,Site cleared for True North Square development,
True North Square (overall development),242 Hargrave St Winnipeg MB,49.8907842,-97.1463573,Growth,Project,2016,2024,Completed,Phased mixed-use development (~1M+ sq ft),
True North Square Tower 1 (office),242 Hargrave St Winnipeg MB,49.8907842,-97.1463573,Growth,Project,2016,2018,Completed,17-storey Class A office tower,
True North Square Tower 2 (residential),225 Carlton St Winnipeg MB,49.8912511,-97.1489453,Growth,Project,2016,2019,Completed,25-storey residential rental tower,
Portage & Main plebiscite,Portage Ave & Main St Winnipeg MB,49.8926731,-97.1537966,Policy,Policy,2018,2018,Completed,65% voted to keep intersection closed to pedestrians,
Hudson's Bay downtown store closure,450 Portage Ave Winnipeg MB,49.8902125,-97.1675618,Transition,Event,2020,2020,Completed,Flagship store closed; major retail vacancy created,
Portage Place decline,393 Portage Ave Winnipeg MB,49.892025,-97.147801,Transition,Trend,2013,,Ongoing,Loss of anchor tenants and declining occupancy,
COVID-era tenant exits (Portage Place),393 Portage Ave Winnipeg MB,49.8919659,-97.1537081,Transition,Event,2020,2020,Completed,Pandemic accelerates retail decline,
Millennium Library security measures,251 Donald St Winnipeg MB,49.8918961,-97.1444505,Transition,Policy,2020,2022,Completed,Temporary bag checks introduced and later removed,
MMF Heritage Centre (former BMO building),355 Main St Winnipeg MB,49.8926731,-97.1537966,Growth,Project,2022,2026,Under Construction,Conversion to Red River Métis National Heritage Centre,
Wehwehneh Bahgahkinahgohn (former Bay building),450 Portage Ave Winnipeg MB,49.8902159,-97.1521177,Growth,Project,2023,2028,Under Construction,Mixed-use redevelopment with housing and cultural space,
300 Main residential tower,300 Main St Winnipeg MB,49.8935118,-97.1405486,Growth,Project,2018,2023,Completed,40-storey residential tower (tallest in Manitoba),
325 Broadway (Hyatt Centric hotel),325 Broadway Winnipeg MB,49.8877464,-97.1437683,Adaptive Reuse,Project,2021,2025,Completed,Conversion of former office building into hotel,
308 Colony (Solara Flats),308 Colony St Winnipeg MB,49.8893943,-97.1538423,Growth,Project,2021,2025,Completed,21-storey mixed-use residential building with affordable units,
CentrePlan 2050,510 Main St Winnipeg MB,49.8993817,-97.1419441,Policy,Policy,2023,2023,Active,Long-term downtown development strategy,
Portage Place redevelopment approval,393 Portage Ave Winnipeg MB,49.8914038,-97.1516195,Growth,Project,2024,2028,Approved,Major mixed-use redevelopment led by True North and partners,
Wawanesa Tower (True North Square),236 Carlton St Winnipeg MB,49.8911593,-97.1499745,Growth,Project,2021,2024,Completed,21-storey office headquarters,
Portage & Main reopening project,Portage Ave & Main St Winnipeg MB,49.8926731,-97.1537966,Infrastructure,Project,2024,,Approved,Pedestrian reopening approved; timeline TBD,
Centre Village redevelopment,545 Balmoral St Winnipeg MB,49.8966865,-97.1544189,Growth,Project,2024,,Under Construction,Replacement of earlier social housing complex,
Sutton Place Hotel (True North Square),220 Carlton St Winnipeg MB,49.8907842,-97.1463573,Growth,Project,2018,2026,Under Construction,Hotel and residential towers delayed from original schedule,
Portage Place redevelopment construction,393 Portage Ave Winnipeg MB,49.8934105,-97.1509642,Growth,Project,2025,2028,Under Construction,Active demolition and redevelopment underway,
Railside at The Forks (Phase 1),The Forks Winnipeg MB,49.889,-97.131,Growth,Project,2024,2026,Under Construction,First residential development at The Forks site,
Heritage conversions cluster (Belgica Block + Alloway Bldg),235 Notre Dame Ave Winnipeg MB,49.8957255,-97.1435697,Growth,Project,2026,,Planned,43 units (Belgica Block 29 + Alloway Bldg 14). St. Charles Hotel and Maw's Garage now tracked as separate rows.,
St. Charles Hotel redevelopment,"235 Notre Dame Ave, Winnipeg MB",49.8966,-97.1449,Adaptive Reuse,Project,2026,2028,Planned,"140-unit residential conversion of vacant 113-yr heritage hotel. 11-storey addition, heritage facade preserved. Developer: Ken Zaifman / Penfor Construction. $4.65M public funding. Announced Jan 27 2026.",
Maw's Garage / Sanford Building,"291 Bannatyne Ave, Winnipeg MB",49.8957,-97.1388,Adaptive Reuse,Project,2026,2028,Planned,114-unit residential tower. 1907 garage + 1890 Sanford Bldg (Exchange District). Heritage permit approved over HBRC objection. Developer: Fratelli Enterprises. Announced Jan 27 2026.,
Office vacancy rate (Winnipeg downtown),Downtown Winnipeg,49.8919703,-97.149946,Market Indicator,Metric,2025,2025,Recorded,Office vacancy ~18–19% (CBRE),
Downtown housing permits (annual),Downtown Winnipeg,49.8919703,-97.149946,Market Indicator,Metric,2025,2025,Recorded,Residential permits reached ~15-year high (City of Winnipeg),
Ground-floor retail vacancy (estimate),Downtown Winnipeg,49.8926054,-97.1596925,Market Indicator,Metric,2022,,Estimated,Elevated storefront vacancy reported in BIZ data,
