"Folder Type","Folder Description","Subdescription","Trade Name","Address","Issue Date","Expiry Date","Status","Neighbourhood Number","Neighbourhood Name","Electoral Ward","Community Characterization Area","Location"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2023 May 10 12:00:00 AM","2024 May 31 12:00:00 AM","Issued","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2022 May 10 12:00:00 AM","2023 May 31 12:00:00 AM","Closed (L)","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2023 May 10 12:00:00 AM","2024 May 31 12:00:00 AM","Issued","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2022 May 10 12:00:00 AM","2023 May 31 12:00:00 AM","Closed (L)","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2021 May 17 12:00:00 AM","2022 May 31 12:00:00 AM","Closed (L)","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2022 May 10 12:00:00 AM","2023 May 31 12:00:00 AM","Closed (L)","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2023 May 10 12:00:00 AM","2024 May 31 12:00:00 AM","Issued","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2022 May 10 12:00:00 AM","2023 May 31 12:00:00 AM","Closed (L)","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2023 May 10 12:00:00 AM","2024 May 31 12:00:00 AM","Issued","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2022 May 10 12:00:00 AM","2023 May 31 12:00:00 AM","Closed (L)","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2023 May 10 12:00:00 AM","2024 May 31 12:00:00 AM","Issued","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2022 May 10 12:00:00 AM","2023 May 31 12:00:00 AM","Closed (L)","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2023 May 10 12:00:00 AM","2024 May 31 12:00:00 AM","Issued","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2022 May 10 12:00:00 AM","2023 May 31 12:00:00 AM","Closed (L)","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2023 May 10 12:00:00 AM","2024 May 31 12:00:00 AM","Closed (L)","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2024 May 28 12:00:00 AM","2025 May 31 12:00:00 AM","Issued","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
"LP","License - Personal Sales","Bicycle Dealer","Natural Cycle","91 Albert ST","2022 May 10 12:00:00 AM","2023 May 31 12:00:00 AM","Closed (L)","3.17","EXCHANGE DISTRICT","Point Douglas","Downtown","POINT (-97.13994322809528 49.8975051398304)"
